#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
24.205	452	24.230	487
24.256	436	24.281	488
24.307	421	24.331	488
24.357	408	24.383	488
24.408	396	24.433	487
24.458	388	24.484	487
24.510	383	24.534	487
24.560	382	24.585	487
24.611	383	24.635	488
24.661	388	24.687	487
24.712	396	24.737	488
24.762	407	24.788	487
24.814	421	24.838	488
24.864	435	24.889	487
24.915	450	24.940	487
24.965	466	24.991	488
25.016	481	25.041	488
25.067	493	25.092	488
25.118	505	25.142	487
25.168	513	25.194	488
25.219	518	25.244	487
25.269	520	25.295	488
25.321	518	25.345	487
25.371	512	25.396	487
25.422	504	25.446	487
25.472	493	25.498	488
25.523	480	25.548	487
25.573	466	25.599	487
25.625	451	25.649	487
25.675	436	25.700	487
25.726	421	25.751	488
25.776	409	25.802	487
25.827	398	25.852	488
25.878	390	25.903	487
25.929	386	25.953	488
25.979	384	26.005	487
26.030	386	26.055	487
26.080	391	26.106	487
26.132	400	26.156	488
26.182	410	26.207	487
26.233	423	26.257	487
26.283	437	26.309	487
26.334	452	26.359	488
26.384	466	26.410	487
26.436	480	26.460	487
26.486	493	26.511	488
26.537	503	26.562	488
26.587	511	26.613	488
26.638	515	26.663	488
26.689	516	26.714	488
26.740	514	26.765	487
26.790	510	26.816	488
26.841	501	26.867	487
26.891	490	26.917	488
26.943	478	26.968	488
26.993	464	27.018	487
27.044	450	27.070	488
27.094	436	27.120	487
27.145	422	27.171	488
27.195	410	27.221	487
27.247	400	27.272	487
27.297	393	27.322	487
27.348	389	27.374	488
27.398	387	27.424	488
27.449	389	27.475	488
27.500	394	27.525	487
27.551	403	27.576	488
27.601	412	27.627	488
27.652	425	27.678	487
27.702	438	27.728	488
27.754	453	27.779	488
27.804	467	27.829	488
27.855	480	27.881	487
27.905	492	27.931	488
27.956	501	27.982	487
28.006	509	28.032	488
28.058	512	28.083	487
28.108	514	28.133	488
28.159	511	28.185	487
28.209	507	28.235	488
