#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
29.021	591	29.046	430
29.072	565	29.097	416
29.122	535	29.148	406
29.173	502	29.199	399
29.223	468	29.249	397
29.275	436	29.300	397
29.325	405	29.350	403
29.376	378	29.402	411
29.426	357	29.452	422
29.477	342	29.503	435
29.527	335	29.553	451
29.579	335	29.604	467
29.629	343	29.654	484
29.680	358	29.706	499
29.730	380	29.756	513
29.781	407	29.807	524
29.832	438	29.857	533
29.883	471	29.908	539
29.934	506	29.959	540
29.984	539	30.010	539
30.035	569	30.060	534
30.086	595	30.111	526
30.137	615	30.161	515
30.187	629	30.213	503
30.238	634	30.263	489
30.288	632	30.314	475
30.340	622	30.364	461
30.390	605	30.415	447
30.441	581	30.465	435
30.491	552	30.517	426
30.542	520	30.567	419
30.592	485	30.618	415
30.644	451	30.668	413
30.694	418	30.719	415
30.745	389	30.770	420
30.795	364	30.821	427
30.846	346	30.871	436
30.897	335	30.922	447
30.948	332	30.972	459
30.998	335	31.024	472
31.049	347	31.074	485
31.099	366	31.125	495
31.151	391	31.175	505
31.201	421	31.226	513
31.252	454	31.276	518
31.302	489	31.328	523
31.353	522	31.378	523
31.403	556	31.429	522
31.455	584	31.479	518
31.505	608	31.530	511
31.556	625	31.581	503
31.606	635	31.632	493
31.657	636	31.682	483
31.708	630	31.733	472
31.759	616	31.783	463
31.809	595	31.835	453
31.860	568	31.885	445
31.910	537	31.936	438
31.962	504	31.986	434
32.012	468	32.037	431
32.063	434	32.087	430
32.113	402	32.139	432
32.164	375	32.189	435
32.214	353	32.240	441
32.266	338	32.290	448
32.316	331	32.341	455
32.367	331	32.392	464
32.417	339	32.443	472
32.468	355	32.493	480
32.519	376	32.544	488
32.570	405	32.594	495
32.620	437	32.646	500
32.671	471	32.696	504
32.721	506	32.747	506
32.773	540	32.797	506
32.823	571	32.848	505
32.874	598	32.898	503
32.924	618	32.950	498
32.975	631	33.001	494
33.025	637	33.051	488
33.077	634	33.102	481
33.127	624	33.152	474
33.178	606	33.204	468
33.228	582	33.254	462
33.279	553	33.305	457
33.330	521	33.355	452
33.381	486	33.406	449
33.431	451	33.457	448
33.482	418	33.508	447
33.532	388	33.558	447
33.584	363	33.609	449
33.634	345	33.659	452
33.685	334	33.711	455
33.735	330	33.761	459
33.786	335	33.812	464
33.836	347	33.862	469
33.888	365	33.913	473
33.938	391	33.963	478
33.989	421	34.015	482
34.039	454	34.065	485
34.090	488	34.116	488
34.141	523	34.166	490
34.192	556	34.217	491
34.242	585	34.268	491
34.293	608	34.319	491
34.343	624	34.369	489
34.395	633	34.420	487
34.445	635	34.470	484
34.496	629	34.522	482
34.546	614	34.572	479
34.597	594	34.623	476
34.647	567	34.673	473
34.699	537	34.724	469
34.749	503	34.774	467
34.800	468	34.826	465
34.850	434	34.876	463
34.901	403	34.927	461
34.952	376	34.977	460
35.003	355	35.028	460
35.053	341	35.079	460
35.104	333	35.130	460
35.154	334	35.180	460
35.206	341	35.231	462
35.256	357	35.281	464
35.307	379	35.333	465
35.357	407	35.383	467
35.408	438	35.434	469
35.458	472	35.484	471
35.510	506	35.535	474
35.560	539	35.585	476
35.611	570	35.637	478
35.661	595	35.687	480
35.712	615	35.738	482
35.763	627	35.788	483
35.814	633	35.839	484
35.864	630	35.890	485
35.915	620	35.941	485
35.965	602	35.991	485
36.017	579	36.042	483
36.067	550	36.092	483
36.118	519	36.144	481
36.168	485	36.194	479
36.219	451	36.245	477
36.270	419	36.295	474
36.321	390	36.346	471
36.371	367	36.396	468
36.422	349	36.448	465
36.472	339	36.498	464
36.523	336	36.549	461
36.574	340	36.599	459
36.625	352	36.650	457
36.675	371	36.701	456
36.726	395	36.752	457
36.776	424	36.802	457
36.828	456	36.853	458
36.878	490	36.903	461
36.929	523	36.955	463
36.979	553	37.005	467
37.030	581	37.056	470
37.081	603	37.106	474
37.132	619	37.157	478
37.182	626	37.207	482
37.233	628	37.259	485
