#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
22.989	491	23.013	556
23.039	493	23.065	553
23.090	496	23.115	546
23.140	497	23.166	534
23.192	500	23.216	519
23.242	501	23.267	500
23.293	503	23.318	480
23.343	503	23.369	459
23.394	503	23.419	439
23.445	503	23.470	419
23.496	502	23.520	402
23.546	500	23.572	388
23.597	497	23.622	378
23.647	495	23.673	373
23.699	491	23.723	372
23.749	488	23.774	376
23.800	485	23.824	384
23.850	483	23.876	398
23.901	479	23.926	413
23.951	477	23.977	432
24.003	476	24.027	452
24.053	476	24.078	472
24.104	476	24.129	493
24.154	477	24.180	511
24.205	479	24.230	527
24.256	482	24.281	539
24.307	485	24.331	547
24.357	489	24.383	551
24.408	493	24.433	551
24.458	497	24.484	545
24.510	501	24.534	536
24.560	505	24.585	523
24.611	508	24.635	506
24.661	510	24.687	488
24.712	511	24.737	468
24.762	511	24.788	448
24.814	510	24.838	429
24.864	508	24.889	412
24.915	506	24.940	397
24.965	502	24.991	387
25.016	498	25.041	379
25.067	493	25.092	378
25.118	488	25.142	379
25.168	483	25.194	386
25.219	479	25.244	396
25.269	475	25.295	410
25.321	471	25.345	426
25.371	469	25.396	445
25.422	468	25.446	464
25.472	468	25.498	483
25.523	469	25.549	501
25.573	472	25.599	516
25.625	475	25.650	530
25.675	480	25.700	539
25.726	485	25.752	545
25.776	491	25.802	546
25.827	497	25.853	543
25.878	502	25.903	536
25.929	508	25.954	525
25.979	512	26.005	511
26.030	516	26.056	494
26.080	518	26.106	476
26.132	519	26.157	457
26.182	518	26.207	439
26.233	516	26.259	422
26.283	512	26.309	407
26.334	508	26.360	395
26.384	502	26.410	387
26.436	496	26.461	383
26.486	490	26.511	384
26.537	484	26.563	388
26.587	477	26.613	396
26.638	472	26.664	407
26.689	467	26.714	422
26.740	464	26.765	438
26.790	462	26.816	456
26.841	461	26.867	474
26.891	463	26.917	491
26.943	465	26.968	507
26.993	469	27.018	520
27.044	474	27.070	531
27.094	480	27.120	538
27.145	487	27.171	541
27.195	495	27.221	539
27.247	502	27.272	534
27.297	509	27.322	525
27.348	515	27.374	513
27.398	519	27.424	498
27.449	524	27.475	482
27.500	525	27.525	465
27.551	525	27.576	448
27.601	523	27.627	432
27.652	520	27.678	417
27.702	514	27.728	405
27.754	508	27.779	396
27.804	501	27.829	391
27.855	493	27.881	389
27.905	485	27.931	392
27.956	478	27.982	397
28.006	470	28.032	407
28.058	464	28.083	419
28.108	459	28.133	434
28.159	456	28.185	450
28.209	455	28.235	465
28.260	455	28.286	482
28.311	458	28.336	497
28.362	462	28.387	511
28.412	468	28.438	521
28.463	475	28.489	529
28.513	483	28.539	532
28.565	492	28.590	534
28.615	500	28.640	530
28.666	509	28.692	524
28.716	516	28.742	513
28.767	522	28.793	502
28.818	527	28.843	487
28.869	530	28.894	472
28.919	531	28.944	456
28.970	530	28.996	441
29.020	526	29.046	427
29.071	521	29.097	415
29.122	514	29.147	405
29.173	506	29.198	400
29.223	497	29.249	397
29.274	489	29.300	397
29.324	479	29.350	401
29.376	471	29.401	408
29.426	463	29.451	418
29.477	457	29.503	430
29.527	452	29.553	445
29.578	450	29.604	459
29.629	450	29.654	474
29.680	451	29.705	489
29.730	455	29.755	501
29.781	461	29.807	512
29.831	469	29.857	519
29.882	478	29.908	525
29.933	487	29.958	527
29.984	497	30.009	526
30.035	507	30.060	520
30.085	516	30.111	513
30.136	523	30.161	503
30.187	530	30.212	491
30.238	534	30.262	477
30.288	536	30.314	463
30.339	535	30.364	450
30.389	533	30.415	436
30.441	528	30.465	425
30.491	521	30.516	415
30.542	512	30.566	408
30.592	503	30.618	405
30.643	492	30.668	404
30.693	482	30.719	406
30.745	472	30.769	411
30.795	463	30.820	419
30.846	455	30.871	429
30.896	450	30.922	441
30.947	446	30.972	454
30.998	445	31.023	467
31.049	446	31.073	480
31.099	449	31.125	492
31.150	456	31.175	503
31.200	463	31.226	511
31.252	472	31.276	517
31.302	482	31.327	519
31.353	493	31.378	519
31.403	504	31.429	516
31.454	514	31.479	510
31.504	524	31.530	502
31.556	531	31.580	492
31.606	537	31.631	481
31.657	540	31.682	469
31.707	540	31.733	457
31.758	538	31.783	445
31.809	534	31.834	434
31.860	527	31.884	425
31.910	519	31.936	417
31.961	508	31.986	413
32.011	497	32.037	411
32.063	486	32.087	412
32.113	475	32.138	416
32.164	465	32.189	422
32.214	456	32.240	430
32.265	448	32.290	440
32.315	443	32.341	451
32.367	441	32.391	462
32.417	441	32.442	473
32.468	444	32.493	484
32.518	449	32.544	493
32.569	457	32.594	502
32.620	466	32.645	507
32.671	477	32.695	510
32.721	488	32.747	511
32.772	499	32.797	510
32.822	511	32.848	506
32.874	522	32.898	500
32.924	531	32.949	492
32.975	537	33.000	483
33.025	542	33.051	473
33.076	543	33.102	462
33.126	543	33.152	451
33.178	539	33.203	443
33.228	533	33.253	433
33.279	524	33.305	427
33.329	514	33.355	422
33.380	503	33.406	419
33.431	491	33.456	419
33.482	479	33.507	422
33.532	467	33.558	426
33.583	457	33.609	432
